"State","COVID.19.Deaths","Number.of.Mentions","All.Cause","Natural.Cause","Septicemia..A40.A41.","Malignant.neoplasms..C00.C97.","Diabetes.mellitus..E10.E14.","Alzheimer.disease..G30.","Influenza.and.pneumonia..J09.J18.","Chronic.lower.respiratory.diseases..J40.J47.","Other.diseases.of.respiratory.system..J00.J06.J30.J39.J67.J70.J98.","Nephritis..nephrotic.syndrome.and.nephrosis..N00.N07.N17.N19.N25.N27.","Symptoms..signs.and.abnormal.clinical.and.laboratory.findings..not.elsewhere.classified..R00.R99.","Diseases.of.heart..I00.I09.I11.I13.I20.I51.","Cerebrovascular.diseases..I60.I69.","Difference_of_death_and_covid_deaths"
"United States",1569,1647,60179,55010,843,11567,1829,2537,1559,3501,1068,1094,630,14204,3110,"greater than 10000"
"Alabama",20,20,1082,1009,15,196,25,54,28,86,13,25,25,268,81,"1000 - 3000"
"Alaska",NA,NA,89,71,NA,16,NA,NA,0,NA,0,NA,0,17,NA,"0 - 100"
"Arizona",74,79,1301,1182,NA,248,47,66,30,90,17,11,17,314,55,"1000 - 3000"
"Arkansas",19,19,672,630,17,114,25,38,18,62,NA,NA,NA,174,34,"500 - 1000"
"California",184,193,5887,5436,34,1199,239,386,187,275,80,97,16,1394,378,"5000 - 10000"
"Colorado",22,24,854,758,NA,157,19,33,NA,53,20,13,NA,177,47,"500 - 1000"
"Connecticut",NA,NA,633,574,11,123,12,15,NA,18,11,13,NA,160,29,"500 - 1000"
"Delaware",NA,NA,199,179,NA,36,NA,12,NA,11,NA,NA,NA,50,15,"100 - 500"
"District of Columbia",NA,NA,132,109,NA,20,0,0,NA,NA,NA,0,0,33,NA,"100 - 500"
"Florida",149,156,4341,3928,60,873,136,127,87,265,59,75,54,1013,277,"3000 - 5000"
"Georgia",71,73,1803,1657,41,337,61,83,61,100,44,41,23,401,93,"1000 - 3000"
"Hawaii",NA,NA,242,222,NA,33,NA,NA,12,10,NA,NA,NA,67,18,"100 - 500"
"Idaho",NA,NA,278,255,NA,68,NA,14,NA,19,NA,NA,NA,44,13,"100 - 500"
"Illinois",48,48,2191,2007,29,427,57,74,46,106,43,57,24,520,119,"1000 - 3000"
"Indiana",48,51,1470,1357,27,258,47,51,42,115,30,40,10,335,60,"1000 - 3000"
"Iowa",NA,NA,665,618,NA,115,19,28,12,62,18,NA,12,168,24,"500 - 1000"
"Kansas",13,16,591,542,NA,89,14,18,23,56,12,13,NA,136,25,"500 - 1000"
"Kentucky",21,22,1093,1001,18,209,50,38,30,91,14,27,NA,222,49,"1000 - 3000"
"Louisiana",38,39,927,837,21,183,29,39,17,44,25,15,12,241,57,"500 - 1000"
"Maine",NA,NA,320,289,0,65,NA,14,NA,16,NA,NA,NA,65,17,"100 - 500"
"Maryland",16,16,1049,937,14,213,41,21,33,38,13,12,NA,249,58,"1000 - 3000"
"Massachusetts",14,14,1242,1131,23,261,33,30,34,57,18,32,17,224,52,"1000 - 3000"
"Michigan",40,42,2015,1863,34,401,63,80,42,133,21,39,10,513,114,"1000 - 3000"
"Minnesota",10,13,1009,929,17,219,42,56,17,45,18,10,25,197,47,"1000 - 3000"
"Mississippi",23,23,673,600,NA,115,NA,42,19,52,10,13,NA,169,34,"500 - 1000"
"Missouri",38,39,1327,1203,18,262,31,63,23,89,41,29,NA,322,63,"1000 - 3000"
"Montana",NA,NA,231,205,NA,43,NA,NA,NA,22,NA,NA,NA,47,NA,"100 - 500"
"Nebraska",NA,NA,346,322,NA,66,11,11,NA,20,NA,NA,NA,85,15,"100 - 500"
"Nevada",20,20,521,465,NA,98,13,18,16,32,NA,NA,NA,156,19,"500 - 1000"
"New Hampshire",0,0,261,240,NA,52,NA,12,NA,16,NA,NA,NA,58,10,"100 - 500"
"New Jersey",19,21,1628,1480,41,321,30,42,25,65,53,35,26,419,68,"1000 - 3000"
"New Mexico",28,28,408,358,NA,63,15,14,17,18,NA,NA,NA,98,25,"100 - 500"
"New York",34,34,2164,2019,22,414,60,75,86,128,51,29,33,543,79,"1000 - 3000"
"New York City",27,27,1155,1067,NA,240,39,28,57,40,16,14,NA,396,26,"1000 - 3000"
"North Carolina",42,43,2003,1835,37,378,64,90,44,137,36,56,22,415,102,"1000 - 3000"
"North Dakota",NA,NA,149,139,NA,31,NA,NA,NA,NA,NA,NA,NA,32,NA,"100 - 500"
"Ohio",51,52,2541,2328,38,468,61,103,55,146,48,40,39,663,131,"1000 - 3000"
"Oklahoma",34,34,901,821,11,165,22,37,22,73,14,12,NA,256,40,"500 - 1000"
"Oregon",NA,12,737,683,NA,159,29,38,15,37,16,11,NA,139,50,"500 - 1000"
"Pennsylvania",35,38,2785,2572,50,562,65,74,82,135,56,55,64,667,150,"1000 - 3000"
"Rhode Island",NA,NA,225,205,NA,34,NA,17,NA,11,0,NA,NA,60,NA,"100 - 500"
"South Carolina",25,26,1085,994,14,192,36,53,30,85,19,29,NA,222,51,"1000 - 3000"
"South Dakota",NA,NA,170,145,NA,38,NA,NA,NA,NA,NA,NA,0,39,10,"100 - 500"
"Tennessee",37,37,1614,1451,29,258,50,70,61,112,26,21,16,385,80,"1000 - 3000"
"Texas",216,230,4325,3949,73,798,135,227,117,226,91,85,41,1001,221,"3000 - 5000"
"Utah",NA,NA,392,350,NA,71,18,16,NA,18,NA,NA,NA,76,17,"100 - 500"
